utterance_id,date,term,text,senti_3_final,senti_6_final,revisado_por,fecha
ParlaMint-ES_2018-09-06-CD180906.u98,2018-09-06,Legislatura XII,"Porque había que acabar con el fraude que ustedes permitían y que favorecía el turismo sanitario, que le costaba a todos los españoles mil millones de euros, incluso a esos doscientos mil españoles a los que ustedes excluían. Porque había que evitar ese procedimiento sancionador de la Unión Europea por la discriminación que se hacía entre ciudadanos europeos y de terceros países. Porque había que pagar los 16 000 millones de euros que ustedes dejaron de deuda en la sanidad.",Negative,Negative,Valero,
ParlaMint-ES_2021-06-15-CD210615.u51,2021-06-15,Legislatura XIV,"En estos momentos, miles de mujeres viven el maltrato de sus parejas, alguna de ellas aterrorizada cada vez que las noticias informan, como una gota malaya sobre nuestras conciencias, de un nuevo asesinato machista. Al lado de estas mujeres habitan niños, niñas, jóvenes que sienten la impotencia de quien no puede cambiar las cosas, hasta que la violencia asesta el golpe que lo cambia todo de arriba abajo y les deja desamparados. Amparo viene de antepara, para adelante. Eso es lo que hacemos instintivamente las madres cada vez que un peligro acecha a nuestros hijos, así que no se me ocurre mejor palabra para definir lo que está proposición ofrece a los huérfanos de violencia machista: amparo, pensando en esas madres que se saben en peligro y que merecen que un Estado que se llama de bienestar haga todo lo posible para mantenerlas vivas, pero también para apoyar a los que más quieren, sus hijos, en caso de fatalidad. Si nos preguntamos qué derecho tiene sobre los bienes de la esposa el cónyuge que se ha enviudado a sí mismo, diríamos que ninguno, una vez se ha dictado sentencia firme. Pero hasta entonces - incluso una vez ha sucedido esto - los huérfanos van a vivir una situación entre el desamparo legal y la burocracia imposible. Por eso, en Junts tomamos en consideración un texto que pretende establecer un protocolo claro en la violencia de género que empieza por hacer competente el Juzgado deViolencia contra la Mujer también en la liquidación de los bienes del matrimonio; por facilitar burocráticamente que los niños huérfanos cobren lo antes posible la liquidación de bienes o la indemnización determinada por responsabilidad civil; porconseguir que sean retribuciones exentas de impuestos para los huérfanos, que no sea la tributación la que les impida cobrar esa indemnización; por mantener la pensión de orfandad en los casos en los que los menores sean adoptados por una familia,especialmente, muy especialmente si esta no tiene recursos, porque, de lo contrario, se va a condenar a huérfanos y a adoptantes a la pobreza; por evitar el desamparo de aquellos niños y niñas de familia monomarental que no pueden acceder a laprestación completa de orfandad absoluta tras el asesinato de su madre cuando el agresor no ha sido el padre, sino otra pareja o expareja de la madre. Y seguro que en la fase de debate abordaremos otros puntos que abrirán otras vías beneficiosas para los huérfanos de violencia machista. Uno deriva de la situación legal que impide que los menores sean titulares de hipotecas. Al estar obligados a cancelar esas cargas sobre el bien heredado, el banco les aplica una penalización por el pago anticipado de la hipoteca. Sería bueno proponer que existieran protocolos de buenas prácticas bancarias que no penalicen en estos casos. Son, como ven, muchas y buenas las razones para que esta Cámara ampare, se pare delante; de lo contrario, seremos todos nosotros los huérfanos de justicia. Somos conscientes de que estamos hablando una y otra vez de huérfanos con perspectiva de género, así que será bueno acabar con una cita de la activista afroamericana Jane Galvin-Lewis: 'No hace falta ser anti hombre para ser pro mujer'.",Positive,Mixed Positive,Valero,
ParlaMint-ES_2018-10-16-CD181016.u7,2018-10-16,Legislatura XII,"Gràcies, senyora presidenta. Hoy debatimos de nuevo sobre igualdad, cosa que nos alegra; esta vez, sobre igualdad de trato de oportunidades entre mujeres y hombres en el empleo y la ocupación. En el Estado español, las mujeres trabajadoras continuamos siendo discriminadas, eso es verdad. Existe brecha salarial, techo de cristal, suelo pegajoso, discriminación por ser madres, como usted misma ha señalado; existe incluso acoso sexual, y es importante, evidentemente, legislar para combatir esta discriminación que sufrimos las mujeres trabajadoras, incido, pero, ¿ qué pasa con las invisibles? Porque las trabajadoras somos las visibles, pero están ahí las invisibles. En el siglo XIX, las mujeres nos incorporamos al mercado de trabajo remunerado, porque al trabajo estábamos incorporadas hacía mucho tiempo; de hecho, si hoy miramos las cifras de la economía sumergida y de la economía de los cuidados, lo que no se computa, lo que no se ve, las cifras de ese trabajo no remunerado siguen siendo bastante demoledoras. Podemos hablar de las empleadas del hogar, de las aparadoras del calzado en Elche, de las cuidadoras familiares de personas dependientes, de las 'kellys', que limpian las habitaciones de los hoteles por un precio ínfimo; de las mujeres en excedencia para cuidar ascendientes o descendientes; de las migrantes, abocadas a los no contratos, al mercado en negro. Ellas son las invisibles y son precisamente las que más protección necesitan y esta ley las deja fuera. Están fuera de todas las leyes que promulgamos aquí, nadie las protege si sufren acoso, no tienen derecho a permisos ni a pensiones ni a protección ni a bajas de ningún tipo. No tienen derecho a nada, son invisibles al igual que lo eran las mujeres antes del siglo XIX, antes de que nuestro trabajo se remunerara. Así que no podemos dejarlas ahora fuera de todo eso y les propongo, señora Cancela, señorías del Partido Socialista: aprovechemos que van a entrar estas leyes, aprovechemos esta ley de igualdad en el empleo y la ocupación, pero vayamos un poco más allá, aprovechemos para modificar esta ley en ponencia y que sea también la ley que reconozca a todas esas invisibles de una vez por todas y la ley que realmente luche contra la explotación femenina en todos sus términos.",Neutral,Neutral Negative,,
ParlaMint-ES_2021-05-20-CD210520.u224,2021-05-20,Legislatura XIV,"Después de las palabras de Sara Giménez es muy difícil continuar. Yo particularmente no soy gitana, soy una playa muy aliada. En el Grupo Republicano pensamos que hay que hacer frente al racismo estructural y a la marginación de un pueblo olvidado y olvidado que ha sido víctima de una persecución histórica y continuada de carácter genocida. Por ello, y tras casi 600 años, hoy aquí, en el Congreso de los Diputados, hemos creado por unanimidad esta subcomisión para el estudio de un pacto de Estado contra el antigitanismo y la inclusión del pueblo gitano. Es imprescindible y urgente que esta casa pida perdón al pueblo gitano. Es imprescindible que rinda recuerdo y homenaje a todas sus víctimas, que analice las políticas públicas implementadas en el marco de la estrategia nacional para la inclusión social de la población gitana, que aborde las diferentes dimensiones del antigitanismo como forma específica de racismo, que legisle para poner fin a ello, que escuche a las personas gitanas, que se comprometa a trabajar para que se apliquen políticas inclusivas, efectivas y decididas con el objetivo de conseguir la igualdad de oportunidades de todas las personas del pueblo gitano, el reconocimiento de su memoria,la reparación de los daños, el mantenimiento de sus señas culturales e identitarias y cuantas reformas se consideren necesarias, incluida la de la Constitución, para escuchar y visibilizar al pueblo gitano en las instituciones sociales, económicas y políticas. Y, finalmente, es necesario que esta casa proponga la elaboración de un informe con diagnóstico, propuestas y conclusiones. ¡Opre, romá!",Negative,Mixed Negative,Valero,
ParlaMint-ES_2015-05-27-CD150527.u85,2015-05-27,Legislatura X,"Donde no hubo un solo euro de financiación, ni uno solo, fue en su plan de familia, porque el plan de familia del Partido Socialista no ha existido nunca. Jamás han hecho un plan de familia. Donde no hubo un solo euro, señoría, fue en el fondo contra la pobreza infantil del Partido Socialista, porque ese fondo no existía; lo hemos creado nosotros y por tanto jamás hubo ahí un solo euro. Estamos trabajando a favor de la inclusión y dando la vuelta a la situación con la política económica, con el crecimiento y con la creación de empleo. Habrá visto usted, según la EPA del primer trimestre de 2015, que 185.000 hogares en los que nadie percibía ingresos empiezan ya a tener renta. Esta es la situación que está cambiando en España y que está dando un vuelco y una oportunidad. Se está produciendo un vuelco en la realidad social española: vuelve a haber una expectativa de crecimiento, vuelve a haber oportunidades, la gente está encontrando por fin empleo y hay una perspectiva razonable de que puedan mejorar sus ingresos. A partir de ahí, queremos revisar el sistema de rentas mínimas y el sistema de ayudas que hay en España y queremos hacerlo en el marco del plan, por lo que el plan marca una fuerte ambición de futuro y un gran compromiso presupuestario de presente. Este, como le decía, es el vuelco y no el de las elecciones del domingo, que no se produjo, porque siguen ustedes detrás y la única expectativa y esperanza que tienen es agarrarse a Podemos como una tabla de salvación.",,,,
ParlaMint-ES_2022-03-08-CD220308.u61,2022-03-08,Legislatura XIV,"Venimos a debatir una propuesta de Ciudadanos para corregir los efectos nocivos que tiene la progresividad del impuesto en combinación con la inflación sobre la renta disponible de los trabajadores. Realmente es la progresividad del impuesto la que genera este efecto nocivo. Si el impuesto fuera proporcional a la renta, la pérdida de poder adquisitivo que supone la inflación sería la misma para el contribuyente que para la Hacienda pública. Sin embargo, por culpa de esta progresividad la pérdida de renta disponible del contribuyente es mayor que la de Hacienda. Es más bien al revés, lo que ocurre por culpa de dicha progresividad es que los ingresos fiscales aumentan más que proporcionalmente a la inflación, mientras que los ingresos libres de impuestos del contribuyente aumentan menos. Como decimos los economistas, la inflación es un impuesto y es un impuesto encubierto. En el Grupo Parlamentario VOX siempre hemos estado muy preocupados por la renta disponible de los trabajadores y por eso hemos presentado una enmienda que propone la reducción de las cotizaciones sociales, tanto las mal llamadas del empresario, como las del trabajador. Decimos las mal llamadas del empresario porque realmente todas las paga el trabajador y por un mecanismo poco transparente le evitamos al trabajador conocer que el 30 % de su esfuerzo, antes de pagar IRPF, IVA,impuestos especiales, IBI y cualquier otro impuesto que a ustedes se les ocurra, ya le ha volado de la nómina. Además, creemos que esta reducción de las cotizaciones sociales, que generaría en un primer momento una reducción de los ingresos públicos, se vería más que compensada por la menor necesidad de auxilio a la población, puesto que habría un incremento del empleo. Pero vamos a hablar de la ejecutoria de Gobierno, porque hasta hace unas pocas semanas la discusión era si la inflación era temporal o permanente, pero la guerra que ha generado Rusia en Ucrania, apoyada por sus colaboradores bolivianos,nicaragüenses, venezolanos y cubanos está generando que el Gobierno se esté poniendo la venda antes de la herida y está intentando convencernos de que la mala ejecutoria económica a la que nos tiene acostumbrados es por culpa siempre de causas externas. En el caso de la COVID-19, en el que ustedes han insistido mucho, no ha sido así. Ustedes tienen una peor ejecución económica que el resto de países. En concreto, ustedes tienen 267 000 contagiados por millón, frente a 57 000, que es la media mundial; ustedes tienen 2147 fallecidos por millón, frente a 773, qué es la media mundial, y ustedes tienen la peor ejecutoria económica de la Unión Europea. De hecho, antes del estallido del conflicto de Ucrania, se advertía que esta era la única nación de los veintisiete que forman parte de la UE que, al cierre del 2022, no habría recuperado el PIB del 2019. Por lo tanto, y recordando lo que ayer nos decía el diario El Mundo - les leo textualmente el titular del artículo -: 'La guerra no es pretexto para la incompetencia - y la COVID-19 lo ha sido, añado yo -'. La inflación, antes del estallido de la guerra de Rusia contra Ucrania, ya era 1,7 puntos porcentuales superior a la media de la Unión Europea. Ayer, el Instituto de Estudios Económicos afirmaba que España - les cito textualmente - podría reducir su gasto público un 14 % y seguir ofreciendo el mismo nivel de servicios públicos, si lograra mejorar su eficiencia hasta alcanzar niveles similares a los de la media de la OCDE. Dicho de otro modo, ello supondría un ahorro de recursos del orden de unos 60.000 millones de euros. Fíjense si no podríamos ayudar a la ELA, a la Fundación Francisco Luzón, que tanto ha contribuido a la visibilidad de este problema, si pudiéramos reducir esos 60.000 millones. En abril de 2019, en nuestro programa económico proponemos un recorte de 24 000 millones en el gasto público superfluo y ustedes no hicieron más que lanzar improperios hacia nosotros. Ahora, parece ser, que el recorte es de 60000. No creo que nos quedáramos cortos, más bien creo que el derroche ha aumentado en estos tres años y, como ustedes son los auténticos liberales de esta Cámara, en el sentido que le da la acepción primera del diccionario de la Real Academia, no han hecho más que incrementar el gasto. Los últimos acontecimientos nos han vuelto a coger en la más absoluta imprevisión. Hace tres semanas discutimos la posibilidad de empezar a realizar reformas estructurales. Ustedes dijeron que no venía a cuento, porque nunca es el momento para el que vive en la improvisación y la ocurrencia. No, señores, la peor situación relativa de España, el último de los países de la Unión Europea en la ejecución económica y de los peores en materia sanitaria, sólo puede deberse al hecho diferencial español: un Gobierno de izquierda radical sostenido por los enemigos de su unidad, porque no hay buen viento para el que no sabe adónde va.",,,,
ParlaMint-ES_2018-11-21-CD181121.u197,2018-11-21,Legislatura XII,"En primer lugar, me gustaría recordar los beneficios que han venido aportando las vacunas a la humanidad. Después de los saneamientos, las vacunas han sido las que más muertes han evitado, así como enfermedad y sufrimiento; por tanto, tienen un valor ya de por sí intrínseco. Efectivamente, la semana pasada en el Consejo Interterritorial del Sistema Nacional de Salud aprobamos un calendario único que tiene unas condiciones especiales, y es que es un calendario de vacunaciones a lo largo de la vida; protege a la persona desde antes del nacimiento, porque hay vacunas que también se administran en la etapa del embarazo para proteger ya al recién nacido en el momento del nacimiento. Este calendario único en el conjunto del territorio tiene un valor intrínseco, porque es un mensaje homogéneo de las autoridades sanitarias sobre la forma de proteger contra enfermedades evitables mediante inmunización. Tiene un valor epidemiológico importante porque es una manera más adecuada y más acertada de inmunizar contra las enfermedades de forma más eficaz. Y tiene un valor estratégico indudable - conectando con la pregunta anterior - porque es un arma muy eficaz para combatir las tendencias que estamos viendo en otros países de negacionismo contra las vacunas. Por tanto, es un potente mensaje del conjunto de la autoridad sanitaria, de todas las administraciones públicas responsables de velar por la salud de la ciudadanía. Es un calendario que protege contra catorce enfermedades sobre las que existe plena evidencia de que la inmunización es eficaz para prevenirlas, evitarlas, y también establece un calendario específico para cada enfermedad, es decir, hasta qué momento inmuniza contra cada enfermedad, para lograr esa inmunización eficaz y combatir así estas enfermedades perfectamente evitables. Por tanto, se trata de prevenir la enfermedad y, sobre todo, dar el mensaje a la ciudadanía de que eso es lo eficaz y combatir ese peligrosísimo negacionismo que está apareciendo y que...",,,,
ParlaMint-ES_2022-02-01-CD220201.u164,2022-02-01,Legislatura XIV,"de nuevo estamos aquí para hablar de normas y prohibiciones que no han conseguido contener la pandemia, como el Real Decreto-ley 30/2021, de 23 de diciembre, que, entre otros temas, regula el uso de las mascarillas. Lo decimos bien alto: no hay ningún estudio científico - repito, no hay ningún estudio - que haya demostrado la utilidad de las mascarillas al aire libre. Por supuesto, son útiles en espacios interiores, y una mascarilla FFP2 es mejor que una quirúrgica y está, a su vez, es mejor que una de tela, pero ninguna de ellas vale para nada si se utiliza mal o se utiliza más tiempo del debido; es más, pueden convertirse en foco ambulante de contagio. Ese es el verdadero problema. Pero es un problema que ustedes han preferido ocultar, porque supondría tratar a los españoles como adultos, cosa que este Gobierno nunca quiere hacer. Prefieren someter a los españoles a normativas absurdas para después regocijarse de cómo las obedecen, lo que les da sensación de dominio sobre la población. Mejor imponer que informar de la realidad. Pero, como médico, les aseguro que los españoles tienen buen criterio sanitario, tienen sentido común, y se están cansando de sus imposiciones absurdas e injustificadas. El Gobierno de España y los gobiernos de taifas nunca informan a los españoles; si lo hicieran, tendrían que reconocer la propuesta de VOX para que las mascarillas sean financiadas. Ese es el verdadero problema. Un claro ejemplo lo tenemos en las escuelas, donde esta tiranía se ejerce con más rigor. Las probabilidades de hospitalización y de UCI en niños son extremadamente bajas y la letalidad mínima, por lo que no tiene sentido el uso de mascarillas en los recreos y, en un contexto de alta vacunación de los progenitores, tampoco en interiores. Ventilación adecuada, pruebas diagnósticas y mascarillas adecuadas para los profesores. Ese es el camino a seguir en las escuelas. Cuando un padre o madre de familia sepa que una mascarilla reutilizada es un vehículo de infección, estaremos luchando contra la epidemia. Cuando el Estado financie las mascarillas, estaremos luchando contra la pandemia. Cuando en los transportes públicos se implanten mecanismos de ventilación con filtros, estaremos luchando contra la pandemia. Cuando a una familia no le cueste el 10 % de sus ingresos la compra de mascarillas y test de antígenos, estaremos luchando contra la epidemia. Este Gobierno no lucha contra la epidemia, lo único que hacen ustedes es dictar una medida inútil para así tapar su incompetencia. No financiar las mascarillas o no anular el IVA de las mascarillas FFP2 es una prueba fehaciente de que el Gobierno antepone la recaudación a la salud del ciudadano. Solo piensan ustedes en recaudar para luego malgastar ese dinero que hurtan a los españoles en salarios para los enchufados inútiles que parasitan las ONG y los ministerios. Dejen de amargarse la vida a los ciudadanos, hagan recomendaciones, informen bien y que los ciudadanos decidan libremente. Estamos hartos de tanta imposición sin fundamento. ¡Ya está bien! En cuanto al artículo 2, respecto a la contratación de personal sanitario jubilado, creemos que habría que adecuar el trabajo a su perfil de riesgo en horario reducido, no de noche, y además con una contribución y una retribución fiscal adecuadas que les compensen por su sacrificio. En relación con el artículo 3, ¿creen ustedes que contratar a médicos extracomunitarios va a solucionar la saturación de la atención primaria y especializada? Ya se lo decimos nosotros: no va a ser así. Sería más inteligente realizar conciertos con la sanidad privada y solo acudir a especialistas extracomunitarios en caso de que fuese preciso, y siempre teniendo en cuenta la opinión de los colegios profesionales. Finalmente, el Gobierno ha introducido en este real decreto-ley un asunto que nada tiene que ver con la esencia del decreto - es una fea práctica de la que ustedes abusan -, donde cuelan de rondón un asunto tan trascendental como es el de las pensiones, que merece un tratamiento aparte. Ya está bien de utilizar a los pensionistas y a nuestros mayores como moneda de cambio. Dejen de hacer chantaje a este Congreso para tapar su incapacidad a la hora de dar una solución digna a las personas más débiles. Siempre es lo mismo, señorías: lanzan el hueso del debate a esos tertulianos de la izquierda, que salen como perros de presa a morder y a atacar a los partidos de la oposición, contando verdades a medias o'mintiendo sin ningún tipo de pudor a viudas, mayores o padres de discapacitados. Por cierto, este grupo se opone al agravio comparativo entre los pensionistas que han contribuido y los que no lo han hecho, cuando tienen unas pagas muy similares. Nos da igual, el partido de Ortega Lara no paga chantajes. Señora presidenta, señorías, nos opondremos a la convalidación de este real decreto-ley, no solo por la obligación de llevar mascarillas o por su nefasta gestión de los recursos humanos en la sanidad pública, sino también porque consideramos una auténtica aberración y una cobardía por su parte, señor Sánchez, meter en el mismo paquete las mascarillas y la gestión de los recursos humanos sanitarios junto con un tema tan serio como las pensiones. No podemos permitir que sigan utilizándose los pensionistas como moneda de cambio, porque es cruel e inhumano y retrata claramente las malas intenciones de este Gobierno: totalitarismo e imposición. En VOX siempre defenderemos a los españoles, sobre todo a los más débiles, y por eso no vamos a permitir este chantaje.",,,,
ParlaMint-ES_2016-12-13-CD161213.u40,2016-12-13,Legislatura XII,"... con especial incidencia en el sur de Europa, tendrá consecuencias catastróficas para nuestro país. Me detendré solamente en dos ejemplos. El turismo, que aporta el 11 % de nuestro PIB nacional y el 13 % del empleo, se vería muy afectado por un aumento del nivel del mar, con retroceso de la franja costera, que es la que recibe el 80 % del turismo del país y donde reside el 30 % de nuestra población. Además, tendría efectos decisivos sobre la salud. La Agencia Europea de Medio Ambiente recoge 30.000 muertes por contaminación en el año 2015. La contaminación ha generado gastos a las distintas administraciones por 35.000 millones de euros. Nosotros podemos elegir; las generaciones futuras no tendrán esta opción. Debemos apostar por un modelo de economía y sociedad en el que los países puedan crecer y prosperar sin poner en peligro el planeta. Se trata de poder disociar crecimiento económico y producción de energía del aumento de la emisión de CO2, y para ello, hay que apostar decididamente por la eficiencia energética y las energías renovables. Esperamos que la anunciada ley de cambio climático y transición energética nazca fruto de un gran consenso, que sea valiente y asumible para todos y que sirva para garantizar un planeta mejor y un futuro mejor.",,,,
ParlaMint-ES_2017-06-21-CD170621.u27,2017-06-21,Legislatura XII,"Lo lamento mucho, señor Baldoví, pero no me ha convencido su intervención. Usted está empeñado en que dimita, pero luego, cuando alguien pone una moción de censura para echarme, le pega una bronca por ponerla. No me extraña que le haya calificado de 'elites conservadoras'. Señoría, usted tiene un problema y es que los españoles no piensan como usted y esta Cámara tampoco piensa como usted; ese es el problema que tiene. La democracia es un sistema en el cual las personas votan; cada persona tiene un voto y elige a quien prefiere que le gobierne. Los españoles han dicho que el Partido Popular, con 137 escaños, tiene que asumir la responsabilidad de gobernar. A lo mejor, a usted no le gusta el sistema democrático, pero yo tengo que cumplir mi obligación. Y mi obligación es gobernar por las razones que le dije al principio: porque esta Cámara me ha dado la investidura, porque esta Cámara ha tirado una moción de censura y porque tenemos más apoyos populares. Si usted tuviera más apoyos populares tendría que hacerlo. Usted no tiene ni la obligación de gobernar ni ninguna otra de las obligaciones que tengo yo, porque usted tiene cuatro diputados y yo tengo ciento treinta y siete. Lo único que le pido es que, ya que no tiene la obligación de gobernar, al menos utilice esos cuatro diputados con un poquito más de nivel político e inteligencia. Muchas gracias. - DEL DIPUTADO DON ALBERT RIVERA DÍAZ, DEL GRUPO PARLAMENTARIO CIUDADANOS, QUE FORMULA A LA SEÑORA VICEPRESIDENTA DEL GOBIERNO, MINISTRA DE LA PRESIDENCIA Y PARA LAS ADMINISTRACIONES TERRITORIALES: ¿QUÉ COORDINACIÓN ESTÁN LLEVANDO A CABO LOS GOBIERNOS EUROPEOS PARA EL DESARROLLO DE UNA POLÍTICA ANTITERRORISTA COMÚN?",,,,
