utterance_id,senti_3,senti_3_final,senti_6,senti_6_final,match_senti_3,match_senti_6
ParlaMint-ES_2015-02-17-CD150217.u28,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2015-02-17-CD150217.u61,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2015-02-17-CD150217.u7,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2015-02-25-CD150225.u43,Positive,Positive,Mixed Positive,Mixed Positive,True,True
ParlaMint-ES_2015-03-10-CD150310.u61,Neutral,Negative,Neutral Positive,Mixed Negative,False,False
ParlaMint-ES_2015-03-11-CD150311.u81,Neutral,Neutral,Neutral Positive,Neutral Positive,True,True
ParlaMint-ES_2015-03-12-CD150312.u40,Negative,Negative,Negative,Negative,True,True
ParlaMint-ES_2015-04-14-CD150414.u165,Neutral,Neutral,Neutral Positive,Neutral Positive,True,True
ParlaMint-ES_2015-04-21-CD150421.u42,Neutral,Positive,Neutral Positive,Mixed Positive,False,False
ParlaMint-ES_2015-04-29-CD150429.u116,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2015-04-30-CD150430.u28,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2015-05-12-CD150512.u39,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2015-05-13-CD150513.u210,Neutral,Neutral,Neutral Positive,Neutral Positive,True,True
ParlaMint-ES_2015-05-27-CD150527.u49,Neutral,Neutral,Neutral Negative,Neutral Negative,True,True
ParlaMint-ES_2015-05-27-CD150527.u58,Neutral,Neutral,Neutral Negative,Neutral Positive,True,False
ParlaMint-ES_2015-05-27-CD150527.u85,Neutral,Positive,Neutral Positive,Mixed Positive,False,False
ParlaMint-ES_2015-05-28-CD150528.u71,Negative,Negative,Negative,Negative,True,True
ParlaMint-ES_2015-06-24-CD150624.u117,Negative,Negative,Negative,Negative,True,True
ParlaMint-ES_2015-06-25-CD150625.u9,Neutral,Positive,Neutral Positive,Mixed Positive,False,False
ParlaMint-ES_2015-07-08-CD150708.u116,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2015-08-18-CD150818.u26,Negative,Negative,Negative,Negative,True,True
ParlaMint-ES_2015-09-16-CD150916.u343,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2015-10-13-CD151013.u64,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2015-10-13-CD151013.u83,Positive,Positive,Mixed Positive,Mixed Positive,True,True
ParlaMint-ES_2016-03-15-CD160315.u100,Neutral,Positive,Neutral Positive,Mixed Positive,False,False
ParlaMint-ES_2016-03-15-CD160315.u19,Negative,Negative,Negative,Negative,True,True
ParlaMint-ES_2016-04-06-CD160406.u15,Negative,Neutral,Mixed Negative,Neutral Negative,False,False
ParlaMint-ES_2016-04-27-CD160427.u78,Neutral,Positive,Neutral Positive,Mixed Positive,False,False
ParlaMint-ES_2016-10-04-CD161004.u97,Neutral,Negative,Neutral Negative,Negative,False,False
ParlaMint-ES_2016-11-30-CD161130.u61,Negative,Neutral,Mixed Negative,Neutral Negative,False,False
ParlaMint-ES_2016-12-13-CD161213.u18,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2016-12-13-CD161213.u40,Neutral,Negative,Neutral Positive,Mixed Negative,False,False
ParlaMint-ES_2016-12-15-CD161215.u63,Neutral,Positive,Neutral Positive,Mixed Positive,False,False
ParlaMint-ES_2016-12-20-CD161220.u120,Positive,Negative,Mixed Positive,Mixed Negative,False,False
ParlaMint-ES_2016-12-21-CD161221.u2,Negative,Negative,Negative,Negative,True,True
ParlaMint-ES_2017-02-01-CD170201.u151,Neutral,Neutral,Neutral Negative,Neutral Positive,True,False
ParlaMint-ES_2017-03-07-CD170307.u26,Neutral,Neutral,Neutral Positive,Neutral Negative,True,False
ParlaMint-ES_2017-03-15-CD170315.u122,Positive,Neutral,Mixed Positive,Neutral Positive,False,False
ParlaMint-ES_2017-03-15-CD170315.u87,Neutral,Neutral,Neutral Positive,Neutral Positive,True,True
ParlaMint-ES_2017-03-16-CD170316.u86,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2017-04-05-CD170405.u118,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2017-05-04-CD170504.u32,Neutral,Positive,Neutral Negative,Mixed Positive,False,False
ParlaMint-ES_2017-05-09-CD170509.u15,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2017-05-09-CD170509.u56,Neutral,Positive,Neutral Negative,Mixed Positive,False,False
ParlaMint-ES_2017-05-10-CD170510.u80,Neutral,Positive,Neutral Positive,Mixed Positive,False,False
ParlaMint-ES_2017-05-17-CD170517.u51,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2017-06-21-CD170621.u27,Neutral,Negative,Neutral Negative,Negative,False,False
ParlaMint-ES_2017-07-12-CD170712.u140,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2017-10-19-CD171019.u14,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2017-11-14-CD171114.u108,Neutral,Positive,Neutral Negative,Mixed Positive,False,False
ParlaMint-ES_2017-11-14-CD171114.u60,Neutral,Neutral,Neutral Positive,Neutral Positive,True,True
ParlaMint-ES_2017-11-15-CD171115.u128,Neutral,Neutral,Neutral Positive,Neutral Negative,True,False
ParlaMint-ES_2017-11-15-CD171115.u146,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2017-11-21-CD171121.u139,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2017-11-23-CD171123.u28,Positive,Positive,Mixed Positive,Mixed Positive,True,True
ParlaMint-ES_2017-12-12-CD171212.u144,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2017-12-12-CD171212.u22,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2017-12-13-CD171213.u93,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2018-02-06-CD180206.u18,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2018-02-21-CD180221.u19,Neutral,Positive,Neutral Negative,Mixed Positive,False,False
ParlaMint-ES_2018-03-20-CD180320.u106,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2018-04-11-CD180411.u97,Negative,Negative,Negative,Negative,True,True
ParlaMint-ES_2018-04-25-CD180425.u54,Negative,Negative,Negative,Negative,True,True
ParlaMint-ES_2018-05-31-CD180531.u88,Neutral,Positive,Neutral Positive,Mixed Positive,False,False
