topic,label,description,model,prompt_version,date,reviewed_by
0,Confrontación política y actualidad (cajón de sastre),"Tópico heterogéneo: choques entre líderes (Sánchez, Rajoy, Casado, Iglesias), mociones de censura, investiduras, crisis catalana y corrupción. Candidato a revisión o subdivisión.",asistente OpenCode,labels_v1,2026-09-14,
1,Energía y transición energética,"Gas, precios de la electricidad, industria, renovables y cambio climático.",asistente OpenCode,labels_v1,2026-09-14,
2,"Economía, impuestos y déficit","Presupuestos, deuda pública, ingresos, déficit y referencias a Montoro.",asistente OpenCode,labels_v1,2026-09-14,
3,Educación y universidad,"LOMCE, sistema educativo, universidades, alumnado, profesorado y uso de la lengua en la escuela.",asistente OpenCode,labels_v1,2026-09-14,
4,COVID-19 y sanidad pública,"Estado de alarma, virus, vacunas, mascarillas, personal sanitario y salud pública.",asistente OpenCode,labels_v1,2026-09-14,
5,"Empleo, reforma laboral y salarios","Paro, contratos, salario mínimo, desempleo y mercado de trabajo.",asistente OpenCode,labels_v1,2026-09-14,
6,"Asilo, migración y fronteras","Refugiados, Melilla, Marruecos, inmigración y derechos humanos.",asistente OpenCode,labels_v1,2026-09-14,
7,Infraestructuras y transporte,"Tren, alta velocidad, cercanías, carreteras, peajes y corredores.",asistente OpenCode,labels_v1,2026-09-14,
8,Poder judicial y justicia,"Jueces, fiscales, Consejo General del Poder Judicial e independencia judicial.",asistente OpenCode,labels_v1,2026-09-14,
9,Financiación autonómica y local,"Ayuntamientos, regla de gasto, superávit, estabilidad presupuestaria y financiación territorial.",asistente OpenCode,labels_v1,2026-09-14,
10,"Vivienda, alquiler y desahucios","Alquiler, propiedad, okupación, desahucios y acceso a la vivienda.",asistente OpenCode,labels_v1,2026-09-14,
11,"Corrupción, transparencia y control","Escándalos, comisiones de investigación, lobbies y buen gobierno.",asistente OpenCode,labels_v1,2026-09-14,
12,Violencia de género e igualdad,"Violencia machista, víctimas, feminismo y derechos de las mujeres.",asistente OpenCode,labels_v1,2026-09-14,
13,"Policía, Guardia Civil y seguridad","Cuerpos de seguridad, equiparación salarial, Interior y defensa.",asistente OpenCode,labels_v1,2026-09-14,
14,"Agricultura, ganadería y pesca","PAC, sector agrario, producción alimentaria y mundo rural.",asistente OpenCode,labels_v1,2026-09-14,
15,Pensiones y Seguridad Social,"Pacto de Toledo, pensionistas, poder adquisitivo e IPC.",asistente OpenCode,labels_v1,2026-09-14,
16,Régimen foral de Navarra y País Vasco,"Concierto y cupo, fuero navarro y autogobierno vasco.",asistente OpenCode,labels_v1,2026-09-14,
17,Cortesías y saludos parlamentarios,Restos de fórmulas de cortesía y agradecimientos; tópico residual de baja calidad temática.,asistente OpenCode,labels_v1,2026-09-14,
18,"ERTE, autónomos y turismo","COVID económico: expedientes de regulación temporal de empleo, ayudas, hostelería y turismo.",asistente OpenCode,labels_v1,2026-09-14,
19,Sanidad y sistema nacional de salud,"Asistencia sanitaria, pacientes, profesionales, salud pública y listas de espera.",asistente OpenCode,labels_v1,2026-09-14,
20,Control al Gobierno (preguntas),"Interpelaciones y preguntas orales («qué medidas», «cómo valora»); turnos de control.",asistente OpenCode,labels_v1,2026-09-14,
21,Canarias y régimen económico y fiscal,"REF, islas, La Palma y asuntos canarios.",asistente OpenCode,labels_v1,2026-09-14,
22,"Cultura, deporte e IVA cultural","Cine, artistas, estatuto del artista, bibliotecas y sector cultural.",asistente OpenCode,labels_v1,2026-09-14,
23,"Agua, incendios y gestión hídrica","Cuencas (Ebro), sequía, daños por incendios y cambio climático.",asistente OpenCode,labels_v1,2026-09-14,
24,Brecha salarial y conciliación,"Permisos de paternidad y maternidad, corresponsabilidad y cuidados.",asistente OpenCode,labels_v1,2026-09-14,
25,Terrorismo de ETA y víctimas,"Víctimas, presos etarras, política penitenciaria y memoria del terrorismo.",asistente OpenCode,labels_v1,2026-09-14,
26,"Banca, crédito y consumidores","Bankia, cajas, cláusulas suelo, deuda hipotecaria y regulación financiera.",asistente OpenCode,labels_v1,2026-09-14,
27,Fraude fiscal y amnistía fiscal,"Agencia Tributaria, defraudadores, Hacienda y amnistía fiscal.",asistente OpenCode,labels_v1,2026-09-14,
28,Comunidad Valenciana,"Financiación, deuda e inversiones valencianas.",asistente OpenCode,labels_v1,2026-09-14,
29,Infancia y pobreza infantil,"Niños y niñas, menores, adopción y pobreza infantil.",asistente OpenCode,labels_v1,2026-09-14,
30,Memoria histórica y franquismo,"Dictadura, víctimas, reparación y memoria democrática.",asistente OpenCode,labels_v1,2026-09-14,
31,Derechos LGTBI y personas trans,"Identidad de género, discriminación, delitos de odio y diversidad.",asistente OpenCode,labels_v1,2026-09-14,
32,"Ciencia, I+D+i e investigación","Investigadores, innovación, I+D, talento y centros científicos.",asistente OpenCode,labels_v1,2026-09-14,
33,Empleo público y temporalidad,"Oferta de empleo público, interinos, abuso de temporalidad y reposición de plazas.",asistente OpenCode,labels_v1,2026-09-14,
34,Eutanasia y cuidados paliativos,"Muerte digna, sufrimiento y cuidados al final de la vida.",asistente OpenCode,labels_v1,2026-09-14,
